GNN,STR,NDC
DICLOFENAC SODIUM/MISOPROSTOL,50 MG-200,42291023290
VORICONAZOLE,200 MG,68084053895
SOTALOL HCL,80 MG,00245001289
LORATADINE/PSEUDOEPHEDRINE,5 MG-120MG,11673001339
LEVETIRACETAM,250 MG,16729006429
HYDROCODONE/ACETAMINOPHEN,7.5-500MG,00406035823
LACTOSE-FREE FOOD/FIBER,,00212181551
SODIUM GLYCEROPHOSPHATE,1 MMOL/ML,63323024120
OLANZAPINE,2.5 MG,13668016630
OXYCODONE HCL/ACETAMINOPHEN,5MG-325MG,00228298150
HYDROMORPHONE HCL,2 MG/ML,00409131210
OMEGA-3/DHA/EPA/FISH OIL,500-1000MG,00536718706
,,15718010307
MAG HYDROX/AL HYDROX/SIMETH,400-400-40,00113058840
MAG HYDROX/AL HYDROX/SIMETH,400-400-40,62011014901
MAG HYDROX/AL HYDROX/SIMETH,200-200-20,57896063912
"ROTAVIRUS VACCINE,LIVE ORAL PV",2 ML,00006404720
LOXAPINE SUCCINATE,10 MG,51079090101
PHENYLEPHRINE/SHARK LIVER/CCB,0.25-3%,00904530424
PHENOL/EUCALYPTUS OIL/MENTHOL,29 MG,63736021918
METOCLOPRAMIDE HCL,10 MG,68084000911
IBUPROFEN,200 MG,00363029108
GUAIFENESIN,600 MG,63824000820
FOSPHENYTOIN SODIUM,500 PE/10,00641613710
"INCONTINENCE PAD,LINER,DISP",,36000012856
ASCORBIC ACID,500 MG/ML,67457011850
NICOTINE POLACRILEX,4 MG,49035053278
MAGNESIUM OXIDE,400 MG,31604002576
RABEPRAZOLE SODIUM,20 MG,62175030232
OXYCODONE HCL,30 MG,47781026501
ISOSORBIDE MONONITRATE,60 MG,54868441701
QUAZEPAM,15 MG,63004773401
LOPERAMIDE HCL,2 MG,62011015002
CITALOPRAM HYDROBROMIDE,40 MG,54458088910
SERTRALINE HCL,50 MG,68645048870
QUETIAPINE FUMARATE,50 MG,68001018008
TRAMADOL HCL,200 MG,68180069806
LEVETIRACETAM,1000 MG,68001011506
CARVEDILOL,25 MG,68001015203
ZOLPIDEM TARTRATE,12.5 MG,68180078001
METFORMIN HCL,500 MG,50742015410
PARICALCITOL,1 MCG,10888500102
ZONISAMIDE,100 MG,68001024400
LANSOPRAZOLE,30 MG,68001011205
NEO/POLYMYX B SULF/DEXAMETH,3.5-10K-.1,00574416035
ALLOPURINOL,100 MG,16714004107
HYDROMORPHONE HCL,12 MG,00406331201
LORAZEPAM,1 MG,00603424728
"SYRING W-NDL,DISP,INSUL,0.5 ML","30GX5/16""",08496305601
TRIAMTERENE/HYDROCHLOROTHIAZID,75 MG-50MG,68001021503
HYDROCORTISONE/PRAMOXINE,1 %-1 %,00037682210
NORETHINDRONE-ETHINYL ESTRAD,0.4-0.035,68180087513
CEFADROXIL,500 MG,68180018008
SIMVASTATIN,20 MG,42571002090
LEVONORGESTREL-ETHIN ESTRADIOL,6-5-10,00555904758
PROPRANOLOL HCL,80 MG,16714002510
DILTIAZEM HCL,180 MG,68682036890
DULOXETINE HCL,20 MG,68084067521
NORETHINDRONE-E.ESTRADIOL-IRON,1.5-30(21),16714040504
TICLOPIDINE HCL,250 MG,57664032786
NAPROXEN SODIUM,220 MG,00536102301
QUETIAPINE FUMARATE,300 MG,68001018300
SENNOSIDES,8.6 MG,49348006210
FAMOTIDINE,40 MG,68001024108
ANASTROZOLE,1 MG,68001015508
"PEN NEEDLE, DIABETIC,DISP UNIT","32GX 5/32""",08470384001
LEVOCETIRIZINE DIHYDROCHLORIDE,5 MG,50474092090
NAPROXEN,500 MG,65162019010
EXEMESTANE,25 MG,47781010830
LOSARTAN POTASSIUM,100 MG,68180021206
DONEPEZIL HCL,23 MG,33342006110
CLOCORTOLONE PIVALATE,0.1 %,43598034175
METHOTREXATE/PF,15MG/0.4ML,54436001504
FENTANYL CITRATE,400 MCG,57881033432
URSODIOL,250 MG,68001022600
TELMISARTAN,20 MG,68462019913
NITROFURANTOIN MACROCRYSTAL,100 MG,68084007801
CEFADROXIL,500 MG,00093319653
RISPERIDONE,3 MG,00904636161
TIZANIDINE HCL,4 MG,29300016910
AMLODIPINE/ATORVASTATIN,5 MG-40 MG,00378451505
FOLIC ACID/MULTIVIT-MIN/LUTEIN,400-250MCG,00005446119
PRAVASTATIN SODIUM,80 MG,42291066990
GABAPENTIN,100 MG,42291030090
ETODOLAC,400 MG,68382027101
TAMSULOSIN HCL,0.4 MG,68084029911
CARBIDOPA/LEVODOPA,50MG-200MG,51079092301
"SYRING W-NDL,DISP,INSUL,0.5 ML","30GX1/2""",08496305511
ESLICARBAZEPINE ACETATE,600 MG,63402020660
AMLODIPINE/ATORVASTATIN,10 MG-10MG,59762673001
TREPROSTINIL DIOLAMINE,1 MG,66302031001
NIACIN,750 MG,68382020216
PIOGLITAZONE HCL,30 MG,52343005405
NAFTIFINE HCL,2 %,00259120260
IMIQUIMOD,5 %,00093612664
NORETHINDRONE-E.ESTRADIOL-IRON,1MG-20(21),52544024928
LOSARTAN POTASSIUM,100 MG,42571011210
VALACYCLOVIR HCL,500 MG,68084063311
CLOBETASOL PROPIONATE/EMOLL,0.05 %,40076010100
TOPIRAMATE,50 MG,00832107230
LACTOSE-REDUCED FOOD/FIBER,,70074040756
0.9 % SODIUM CHLORIDE,0.9 %,00409798406
CYCLOBENZAPRINE HCL,7.5 MG,76218121901
GABAPENTIN,400 MG,43547026710
"SYRING W-NDL,DISP,INSUL,0.5 ML","29GX1/2""",08496295501
TOBRAMYCIN IN 0.225% NACL,300 MG/5ML,17478034038
"SYRINGE,NEEDLE,INSULN,SF 0.5ML","29GX1/2""",08317210295
GLYBURIDE,5 MG,68084080701
TESAMORELIN ACETATE,1 MG,62064001160
DEXTROMETHORPHAN POLISTIREX,30 MG/5 ML,62011017601
BUTALB/ACETAMINOPHEN/CAFFEINE,50-325-40,68308055410
"DIAPER,BRIEF,ADULT, DISPOSABLE",,90891050112
ALOGLIPTIN BENZOATE,6.25 MG,64764062530
LAMIVUDINE,100 MG,31722075260
"SYRING W-NDL,DISP,INSUL,0.3 ML","30GX5/16""",90166005635
PIPERACILLIN SODIUM/TAZOBACTAM,40.5 G,00206241601
MODAFINIL,100 MG,00378557305
"SYRING W-NDL,DISP,INSUL,0.3 ML","30GX1/2""",08290843101
CARVEDILOL,25 MG,42291019990
"SYRING W-NDL,DISP,INSUL,0.3 ML","31GX5/16""",38396045339
FERROUS SULFATE,143(45) MG,50428277464
"PEN NEEDLE, DIABETIC,DISP UNIT","31GX1/4""",08517389036
TELMISARTAN/AMLODIPINE,80 MG-5 MG,13668034430
NORETHINDRONE-E.ESTRADIOL-IRON,1MG-20(24),00430053014
"SYRING W-NDL,DISP,INSUL,0.5 ML","31GX5/16""",99073071099
CEFADROXIL,500 MG/5ML,16714039002
WARFARIN SODIUM,6 MG,65162076711
LAMOTRIGINE,50 MG,52536025103
HYDROCORTISONE,1 %,00096073204
METRELEPTIN,FNL 5MG/ML,66780031001
CEFUROXIME SODIUM,750 MG,24987035210
"POTASSIUM PHOS,M-BASIC-D-BASIC",3MMOL/ML,00517235025
,,43072000313
TRIHEXYPHENIDYL HCL,2 MG,54738055401
TRAZODONE HCL,50 MG,68084012411
TAZAROTENE,0.1 %,00145002003
TALC/CELLULOS/CHLOROXY/ALDIOXA,,00145150405
BACITRACIN,500 UNIT/G,00574402213
LOPERAMIDE HCL,2 MG,57896038124
PEG 400/HYPROMELLOSE/GLYCERIN,1-0.2-0.2%,74300001069
CALCIUM CARBONATE,260MG(648),00536102410
LANSOPRAZOLE,15 MG,68084046711
GEL BASE NO.151,,00395700159
GLIPIZIDE/METFORMIN HCL,5 MG-500MG,42291030601
PIPERACILLIN SODIUM/TAZOBACTAM,4.5 G,00409337904
METOPROLOL TARTRATE,25 MG,52343005901
SODIUM FLUORIDE/POTASSIUM NIT,1.1%-5%,38341007061
"SYRING W-NDL,DISP,INSUL,0.5 ML","30GX3/8""",08970100875
PEGINTERFERON ALFA-2B,600 MCG,00085131201
UNDERPADS,"23"" X 36""",90891013155
"SYRING W-NDL,DISP,INSUL,0.5 ML","31GX15/64""",08290491101
DONEPEZIL HCL,5 MG,00904640889
ACETYLCYSTEINE,100 MG/ML,63323069504
CEFDITOREN PIVOXIL,400 MG,44004080228
LORATADINE,10 MG,50428249460
FELBAMATE,600 MG/5ML,51525044203
PRAVASTATIN SODIUM,20 MG,60429036845
"SYRING W-NDL,DISP,INSUL,0.3 ML","29GX1/2""",38396078339
ENOXAPARIN SODIUM,40MG/0.4ML,00075801401
NEOMY SULF/BACITRAC ZN/POLY,3.5-400-5K,00168001209
CRANBERRY EXTRACT,200 MG,37205023175
HYDROCODONE/ACETAMINOPHEN,5MG-300MG,68084079695
CLINDAMYCIN PHOSPHATE/D5W,600MG/50ML,00009337501
CEFADROXIL,500 MG/5ML,16714020301
PRENATAL VIT#84/IRON/FA#1/DHA,18-1-300MG,75854031330
IBUPROFEN,200 MG,00363039308
PENICILLIN G POTASSIUM,5MM UNIT,00049052022
ACYCLOVIR SODIUM,50 MG/ML,55150015520
NYSTATIN,100000/ML,66689003799
GLUCOSAMINE/CHONDRO SU A,500-400 MG,00904559252
OMEPRAZOLE,40 MG,42549065830
PERPHENAZINE,8 MG,68084060711
GALANTAMINE HBR,8 MG,57237005060
,,00135055701
"SYRING W-NDL,DISP,INSUL,0.5 ML","27GX1/2""",08496275501
"SYRING W-NDL,DISP,INSUL,0.5 ML","31GX5/16""",38396042057
UREA,40 %,00316740108
BETHANECHOL CHLORIDE,50 MG,00832051301
OXYMETAZOLINE HCL,0.05 %,50428164183
METHYLCELLULOSE,,00068042017
SULFACETAMIDE SODIUM/SULFUR,10 %-2 %,00178064030
AMMONIUM LACTATE,12 %,00245002315
CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,41163026604
MECLIZINE HCL,25 MG,13811064801
BELATACEPT,250 MG,00003037113
PRAVASTATIN SODIUM,20 MG,60429036805
DICLOFENAC SODIUM,50 MG,68001020100
MENTHOL,3.7 %,81485025001
LACTOSE-REDUCED FOOD,,41679094166
OMEGA-3/DHA/EPA/FISH OIL,300-1000MG,74312003848
NEOMY SULF/BACITRAC ZN/POLY,3.5-400-5K,45802006170
MINERAL OIL,,51552083606
QUINAPRIL/HYDROCHLOROTHIAZIDE,20 MG-25MG,31722037690
"PEN NEEDLE, DIABETIC","31 GX3/16""",08290320882
NIFEDIPINE,30 MG,24979001101
"SYRINGE AND NEEDLE,INSULIN,1ML","29 G X1/2""",81131031162
LORAZEPAM,2 MG,00832091215
"PEN NEEDLE, DIABETIC","31 GX5/16""",94046000173
METHYLPHENIDATE HCL,20 MG,65580053201
PIPERACILLIN SODIUM/TAZOBACTAM,40.5 G,63323030494
"PEN NEEDLE, DIABETIC","31 GX5/16""",90166083152
"SYRINGE AND NEEDLE,INSULIN,1ML","30GX1/2""",08290328278
"SYRINGE,NEEDLE,INSULN,SF 0.5ML","29 G X1/2""",08496011601
LANREOTIDE ACETATE,120MG/0.5,15054112003
COLCHICINE,0.6 MG,00143301801
METOPROLOL SUCCINATE,25 MG,49884082510
GLYBURIDE/METFORMIN HCL,5 MG-500MG,57237002501
CARBIDOPA/LEVODOPA,48.75-195,64896066301
"PEN NEEDLE, DIABETIC","31 GX3/16""",08470385001
LISINOPRIL,20 MG,54458087310
NALOXEGOL OXALATE,25 MG,00310197030
TESTOSTERONE,25MG(1%),45802011665
DICLOFENAC SODIUM,1.5 %,52565000205
METRONIDAZOLE,500 MG,68001026303
HALOPERIDOL,5 MG,68382007910
"SYRING W-NDL,DISP,INSUL,0.5 ML","29 G X1/2""",08290305932
CARBIDOPA/LEVODOPA,36.25-145,64896066201
NITROFURANTOIN MACROCRYSTAL,50 MG,00591368501
"SYRINGE AND NEEDLE,INSULIN,1ML","28GX1/2""",57515018218
CLOBETASOL PROPIONATE,0.05 %,00574206302
RIZATRIPTAN BENZOATE,10 MG,33342008850
DOXAZOSIN MESYLATE,4 MG,16729021301
METOPROLOL TARTRATE,50 MG,57237010101
CELECOXIB,200 MG,13811066010
"SYRINGE AND NEEDLE,INSULIN,1ML","28GX1/2""",08881501210
WARFARIN SODIUM,4 MG,57237012301
CYCLOBENZAPRINE HCL,7.5 MG,69420100101
VALSARTAN,40 MG,43547036703
"SYRINGE AND NEEDLE,INSULIN,1ML","28GX1/2""",08496281501
"SYRINGE AND NEEDLE,INSULIN,1ML","31 GX5/16""",08290329416
DICLOFENAC POTASSIUM,50 MG,13913001101
"SYR-ND,INS,0.5/CONTAINER,EMPTY","30GX 5/16""",08222073594
HYDROXYZINE PAMOATE,25 MG,68084084701
"PEN NEEDLE, DIABETIC","31 G X1/4""",08214359033
DESIPRAMINE HCL,10 MG,00955103010
CORTISONE ACETATE,25 MG,00143970001
FERROUS SULFATE,325(65) MG,57664007010
MOMETASONE FUROATE,200 MCG,00085433401
GLIMEPIRIDE,2 MG,69543012410
BUPROPION HCL,100 MG,43547028809
"MINERAL OIL/PETROLATUM,WHITE",15 %-83 %,17478006235
ESTRADIOL,0.05MG/24H,00781714483
METHAMPHETAMINE HCL,5 MG,68308011501
ALOSETRON HCL,1 MG,45963048003
MELOXICAM,15 MG,76282015301
"INSULIN REGULAR, HUMAN",4 UNIT(30),00024588236
"MULTIVIT,TX,IRON/CALCM/FA/MINS",27MG-0.4MG,37205018581
"FOLIC ACID/MV,FE,MIN",0.4MG-18MG,41163046896
"PEN NEEDLE, DIABETIC","31 GX5/16""",87701040520
AMLODIPINE/VALSARTAN/HCTHIAZID,10MG-160MG,13668032730
"SYRINGE W-NEEDLE,DISPOSAB,3 ML","21 G X 1""",08290309575
POTASSIUM CHLORIDE,10 MEQ,66758020501
YELLOW FEVER VACCINE LIVE/PF,10E4.74,49281091558
OMEGA-3/DHA/EPA/FISH OIL,300-1000MG,52569013419
FINASTERIDE,5 MG,58517020030
MULTIVIT-MINERALS/FERROUS GLUC,9 MG/15 ML,54838001070
SELENIUM SULFIDE,2.25 %,42582090006
MORPHINE SULFATE,4 MG/ML,00641612525
L-NORGEST/E.ESTRADION-E.ESTRAD,0.15MG(84),51285043165
DEXAMETHASONE SOD PHOSPHATE,4 MG/ML,00069019201
"PEN NEEDLE, DIABETIC","32GX 5/32""",98302001433
"NA PHOS,M-B/NA PHOS,DI-BA",19G-7G/118,68016002145
"SYRINGE AND NEEDLE,INSULIN,1ML",29 GAUGE,08326290110
METHYLPHENIDATE HCL,30 MG,00781236301
GLYCEROL PHENYLBUTYRATE,1.1GRAM/ML,75987005006
"PEN NEEDLE, DIABETIC","32GX 5/32""",08214040737
"SYRINGE AND NEEDLE,INSULIN,1ML","30GX1/2""",38396040812
TRAMADOL HCL/ACETAMINOPHEN,37.5-325MG,68084082501
"INSULIN REGULAR, HUMAN",4 UNIT,00024587490
INSULIN NPH HUM/REG INSULIN HM,70-30/ML,00002880359
NIACIN,500 MG,68382020116
"FENOFIBRATE,MICRONIZED",90 MG,27437010806
DULOXETINE HCL,60 MG,55111061010
"SYRING W-NDL,DISP,INSUL,0.3 ML",30 GAUGE,38396040608
TRANEXAMIC ACID,650 MG,60505363803
NIACIN,500 MG,54629071101
"SYRING W-NDL,DISP,INSUL,0.5 ML","31GX5/16""",08290329405
LEUPROLIDE ACETATE,22.5 MG,62935022205
ASPIRIN,325 MG,40986001236
AZELASTINE HCL,205.5MCG,45802003983
HYDROCODONE/ACETAMINOPHEN,10MG-325MG,51862022905
"SYRING W-NDL,DISP,INSUL,0.3 ML","31 GX5/16""",08881609331
DEXTROSE/VITAMIN D3,4 G-400,56151161111
OXYCODONE HCL,5 MG,63739036510
"SYRINGE AND NEEDLE,INSULIN,1ML","31 GX5/16""",08521000131
SIMETHICONE,125 MG,46036000365
MV-MN/IRON/FA/HERBAL CMPLX#190,18-800-150,11845016825
NAPROXEN SODIUM,220 MG,49348026009
PROMETHAZINE HCL,12.5 MG,51672529601
GALANTAMINE HBR,12 MG,57237005160
SALSALATE,750 MG,42291075601
DICLOFENAC SODIUM,1.5 %,00591214071
VERAPAMIL HCL,180 MG,60429019805
METOCLOPRAMIDE HCL,5 MG,43386058130
MIRTAZAPINE,45 MG,57237001005
NITISINONE,2 MG,66658010260
DONEPEZIL HCL,23 MG,00378102593
ARIPIPRAZOLE,10 MG,13811069230
HYDROXYZINE HCL,25 MG,55289013912
MULTIVIT-MIN/FA/LYCOPEN/LUTEIN,.4-300-250,10939056144
HYDROCODONE/ACETAMINOPHEN,10MG-325MG,00904642161
AMITRIPTYLINE HCL,10 MG,55289012412
CELECOXIB,50 MG,00378716591
CEFAZOLIN SODIUM,10 G,25021010269
HYOSCYAMINE SULFATE,0.5 MG/ML,68220011105
LABETALOL HCL,5 MG/ML,00409226725
FUROSEMIDE,10 MG/ML,23155047332
"DALTEPARIN SODIUM,PORCINE",5000/0.2ML,00069019601
MULTIVITAMIN WITH IRON,,37205008178
ALCOHOL ANTISEPTIC PADS,,00113200078
NAFCILLIN SODIUM,1 G,44567022110
"PEN NEEDLE, DIABETIC","31 GX5/16""",89158500800
HYDROCORTISONE,2.5 %,54868589300
CHOLECALCIFEROL (VITAMIN D3),5000 UNIT,81131031271
NITROGLYCERIN,9 MG,00904064760
DISULFIRAM,500 MG,00054035725
LACTOSE-REDUCED FOOD,0.05 G-1.5,70074053810
CARBAMAZEPINE,200 MG,54569265500
PSYLLIUM HUSK,6 G,00224180184
BUPROPION HCL,100 MG,68084069701
ASPIRIN,81 MG,50804022712
"PEN NEEDLE, DIABETIC","32GX 5/32""",61059040724
,,62011019601
NITROFURANTOIN MACROCRYSTAL,100 MG,49999021014
CARBAMIDE PEROXIDE,6.5 %,46122024905
LISINOPRIL,5 MG,76282041810
CALCIUM CARBONATE,300MG(750),00135024602
VALACYCLOVIR HCL,500 MG,68084021501
UNDERPADS,"30""X36""",11917015577
ETODOLAC,400 MG,68084083825
CARBOPLATIN,10 MG/ML,47335015040
EUCALYP/ME-SALICYLATE/MEN/THYM,,12547070152
MIDAZOLAM HCL/PF,5 MG/ML,76045000210
TETRAHYDROZOLINE HCL,0.05 %,00536100294
RANITIDINE HCL,75 MG,41163017172
"SYRINGE, DISPOSABLE, 60 ML",,08290309620
FAMCICLOVIR,250 MG,42291027630
NYSTATIN,100000/ML,63739063456
OXYCODONE HCL,5 MG/5 ML,64950035455
LACTOBACILLUS RHAMNOSUS GG,10B CELL,49100040007
NORETHINDRONE-E.ESTRADIOL-IRON,1MG-20(24),00603761017
MULTIVITAMIN WITH MINERALS/LUT,,11845014075
PRAVASTATIN SODIUM,80 MG,42291066945
DIPHENHYDRAMINE HCL,50 MG,16103034711
NICOTINE POLACRILEX,2 MG,24385059471
LIDOCAINE,4 %,43199004051
MECLIZINE HCL,25 MG,24385038851
GABAPENTIN,300 MG,43353086394
MULTIVIT-MIN/FA/LYCOPEN/LUTEIN,500-300MCG,37205028787
OXYCODONE HCL,5 MG/5 ML,64950035445
NAPROXEN,250 MG,52605013805
"SYRING W-NDL,DISP,INSUL,0.5 ML","30GX 5/16""",15127040205
PROMETHAZINE HCL,12.5 MG,54868479402
DENTURE CLEANSER,,10158009206
DOCUSATE SODIUM,100 MG,67618010152
CEPHALEXIN,500 MG,43063036220
LAMOTRIGINE,25 MG,49884048411
LAMIVUDINE,100 MG,00378516893
"SYR-ND,INS,0.5/CONTAINER,EMPTY","29 G X1/2""",57515007259
ONDANSETRON HCL/PF,4 MG/2 ML,00409475518
"SYRINGE W-NDL, DISP., INSULIN",,08330131601
MELOXICAM,15 MG,50268052611
ROSUVASTATIN CALCIUM,40 MG,31722088530
POTASSIUM CHLORIDE,10 MEQ,68180079902
COLLAGENASE CLOSTRIDIUM HIST.,250 UNIT/G,50484001030
NEOMYCIN/POLYMYXIN B/DEXAMETHA,0.1 %,24208083060
"SYRINGE-NEEDLE,INSULIN,0.5 ML","29 G X1/2""",08290593201
CITALOPRAM HYDROBROMIDE,10 MG,54458098112
OMEPRAZOLE,40 MG,57237016230
LOSARTAN POTASSIUM,50 MG,68180030809
"SYRINGE-NEEDLE,INSULIN,0.5 ML","31 GX5/16""",08222094599
CITALOPRAM HYDROBROMIDE,20 MG,69097082312
LIDOCAINE,5 %,68462041820
NYSTATIN,100000/G,00713067831
ESOMEPRAZOLE MAGNESIUM,20 MG,43598050930
HYDROCODONE/ACETAMINOPHEN,7.5-325 MG,00591260501
"SYRINGE-NEEDLE,INSULIN,0.5 ML","30G X5/16""",56151172201
DEXTROAMPHETAMINE/AMPHETAMINE,30 MG,00115149101
"PROGESTERONE, MICRONIZED",100 MG,17478076610
HYDROCODONE/ACETAMINOPHEN,7.5-325 MG,51862022805
HYDROXYZINE HCL,25 MG,23155050105
"SYRINGE AND NEEDLE,INSULIN,1ML","30G X5/16""",08222093196
COLLAGENASE CLOSTRIDIUM HIST.,250 UNIT/G,50484001090
GABAPENTIN,800 MG,69097081112
CYCLOBENZAPRINE HCL,10 MG,69097084607
NITAZOXANIDE,500 MG,67546011114
OLMESARTAN/HYDROCHLOROTHIAZIDE,40-12.5 MG,57664075983
IMMUNE GLOBUL G/GLY/IGA AVG 46,40 G/400ML,13533080040
GABAPENTIN,800 MG,43547039050
MINOCYCLINE HCL,50 MG,13668048201
BETAMETHASONE DIPROPIONATE,0.05 %,00713080753
"PROGESTERONE, MICRONIZED",200 MG,69387010201
TOBRAMYCIN SULFATE,40 MG/ML,17478011430
HYDROCODONE BITARTRATE,20 MG,65224032060
MINOCYCLINE HCL,100 MG,13668048750
FENOFIBRATE,50 MG,62559046090
MIRTAZAPINE,45 MG,00378354501
AMLODIPINE BES/OLMESARTAN MED,10 MG-40MG,57664077583
METHENAMINE HIPPURATE,1 G,69315021001
DEXTROAMPHETAMINE SULFATE,5 MG,10702006501
VALSARTAN,160 MG,52343012490
DEXTROAMPHETAMINE/AMPHETAMINE,5 MG,00378454101
POTASSIUM CHLORIDE,8 MEQ,68180079802
METRONIDAZOLE,500 MG,65862069505
VENLAFAXINE HCL,225 MG,13811071590
OLMESARTAN/HYDROCHLOROTHIAZIDE,20-12.5 MG,57664075883
"SYRINGE-NEEDLE,INSULIN,0.5 ML","29 G X1/2""",08496295501
SIMVASTATIN,20 MG,31722051210
ESTAZOLAM,1 MG,51862006901
"SYRINGE-NEEDLE,INSULIN,0.5 ML","30G X5/16""",08290305934
"SYRINGE-NEEDLE,INSULIN,0.5 ML","28GX1/2""",08222082589
DESOGESTREL-ETHINYL ESTRADIOL,0.15-0.03,16714046404
IXEKIZUMAB,80 MG/ML,00002144511
RALOXIFENE HCL,60 MG,76282025605
GABAPENTIN,300 MG,49483060650
OXYCODONE HCL/ACETAMINOPHEN,7.5-325 MG,23635011501
CABOZANTINIB S-MALATE,40 MG,42388002526
MODAFINIL,100 MG,57237015430
PIROXICAM,20 MG,00378046705
OXCARBAZEPINE,150 MG,60429006101
HYDROCORTISONE/ACETIC ACID,1 %-2 %,00472088282
TEMAZEPAM,7.5 MG,00904643660
BETAMETHASONE VALERATE,0.1 %,00713032715
PYRIDOXINE HCL (VITAMIN B6),50 MG,00904052060
ESTRADIOL,2 MG,51862033405
"MULTIVIT,CALC,MINS/IRON/FOLIC",9MG-400MCG,00904549280
CYCLOBENZAPRINE HCL,5 MG,68645051790
HYDROMORPHONE HCL,4 MG/ML,00409254001
NORETHINDRONE AC-ETH ESTRADIOL,1MG-20MCG,51862000706
ESTRADIOL/NORETHINDRONE ACET,0.5-0.1 MG,00169517511
HYDROCHLOROTHIAZIDE,25 MG,69367012207
NACL/NAHCO3/HYALURON SOD/ALOE,0.9 %,05928004530
NORETHINDRONE AC-ETH ESTRADIOL,1MG-5MCG,68180082809
NIFEDIPINE,90 MG,68084099332
FOLIC ACID/VIT B COMPLEX AND C,400 MCG,11917013935
NEVIRAPINE,400 MG,69097040302
"SYRINGE-NEEDLE,INSULIN,0.5 ML","31 GX5/16""",87701039972
ATORVASTATIN CALCIUM,20 MG,60429032490
BUPRENORPHINE HCL,0.3 MG/ML,42023017905
NIMODIPINE,30 MG,00904656661
DILTIAZEM HCL,180 MG,10370083005
LEVOFLOXACIN/D5W,500MG/0.1L,44567043624
SCOPOLAMINE,1.5MG/3DAY,10019055304
"MINERAL OIL, LIGHT/MINERAL OIL",1%-4.5%,10119049311
SODIUM POLYSTYRENE SULFONATE,30 G/120ML,00054037950
AMLODIPINE BES/OLMESARTAN MED,5 MG-40 MG,27241008403
IBUPROFEN,600 MG,42582011218
ZIPRASIDONE HCL,40 MG,63739000532
ENALAPRIL MALEATE,2.5 MG,68682071010
LACTOSE-REDUCED FOOD,0.04G-0.93,50428049453
VALSARTAN,80 MG,52343012390
GABAPENTIN,800 MG,67877042905
PHENAZOPYRIDINE HCL,200 MG,35573030610
"SYRING-NEEDL,DISP,INSUL,0.3 ML","30G X5/16""",94046000166
SUMATRIPTAN,5 MG,00527181843
VALSARTAN,80 MG,60687012811
"MINERAL OIL/PETROLATUM,WHITE",31.9-57.7%,11917014379
GABAPENTIN,300 MG,58517006030
LEVETIRACETAM,500 MG/5ML,63323040005
FELODIPINE,5 MG,68084088325
OXYMETAZOLINE HCL,0.05 %,00363006510
FAMOTIDINE,10 MG,49348012844
MULTIVITAMIN WITH IRON,,40986001836
ALIROCUMAB,150 MG/ML,00024590402
IMMUN GLOBG(IGG)/SUCR/IGA OV50,6 G,44206041706
NEOMYCIN/POLYMYXIN B/DEXAMETHA,3.5-10K-.1,48102000335
,,63629502902
METHYLPHENIDATE HCL,30 MG,60687015125
"SYRINGE,NEEDLE,INSULN,SAFE,1ML","30G X5/16""",08881893010
PROPAFENONE HCL,225 MG,00378125805
TOPIRAMATE,25 MG,29300011505
"PEN NEEDLE, DIABETIC","32GX 5/32""",40986002964
FENOFIBRATE,160 MG,42291029090
"SYRING-NEEDL,DISP,INSUL,0.3 ML","29GX1""",38415003129
B-COMPLEX WITH VITAMIN C,,49348039110
SERTRALINE HCL,100 MG,65862001390
OLANZAPINE,2.5 MG,68084052511
TACROLIMUS,1 MG,60429037801
"THYROID,PORK",90 MG,54569447100
OLMESARTAN/AMLODIPIN/HCTHIAZID,40-10-12.5,57664079899
FENTANYL,50MCG/HR,60505701200
NATEGLINIDE,60 MG,42291063601
PRENATAL 68/IRON/FOLIC NO1/DHA,28-1-300MG,76439024330
"SYRING-NEEDL,DISP,INSUL,0.3 ML","29 G X1/2""",08290329431
IMMUN GLOBG(IGG)/MALT/IGA OV50,5 %,68982084002
SIMETHICONE,125 MG,49348007309
MEROPENEM,1 G,00781309896
CARBOPLATIN,10 MG/ML,00703424681
EMPAGLIFLOZIN/LINAGLIPTIN,25 MG-5 MG,00597016439
ZIPRASIDONE HCL,60 MG,63739066632
ENALAPRIL MALEATE,20 MG,68682071330
NAPROXEN,500 MG,76282034201
IBUPROFEN,200 MG,40986002483
METHADONE HCL,10 MG,00904653060
NYSTATIN/TRIAMCIN,100000-0.1,68462079917
ESCITALOPRAM OXALATE,10 MG,43063037401
TRAMADOL HCL/ACETAMINOPHEN,37.5-325MG,50268077415
"PEN NEEDLE, DIABETIC","29GX 5/16""",61059035891
PRENAT 115/IRON FUM/FOLIC/DSS,29-1-25 MG,76439027310
CEFUROXIME AXETIL,250 MG,42043023020
,,49035008412
,,62011028101
SILVER NITRATE APPLICATOR,75 %-25 %,12870000102
VIT C/VIT E/LUTEIN/MINERALS 1,60-30-6,00904549473
0.9 % SODIUM CHLORIDE,0.9 %,00409488803
CHLORHEXIDINE/GLYCERIN/HE-CELL,,00178030105
"SYRING-NEEDL,DISP,INSUL,0.3 ML","30G X5/16""",41163402208
SODIUM CHLORIDE/ALOE VERA,,11917016795
"SYRING-NEEDL,DISP,INSUL,0.3 ML","29 G X1/2""",90166095035
MINERAL OIL/HYDROPHIL PETROLAT,,54868587000
